City,Latitude,Longitude,Temperature (F),Humidity,Cloud Cover,Wind Speed,Time Stamp
Busselton,-33.64,115.35,46.98,65,67,18.48,2019_07_14 14.51
Punta Arenas,-53.16,-70.91,39.09,93,75,5.82,2019_07_14 14.51
Riyadh,24.63,46.72,91.4,9,0,6.93,2019_07_14 14.51
Mataura,-46.19,168.86,38.68,90,90,4.81,2019_07_14 14.51
Ponta do Sol,-20.63,-46,67.48,54,42,1.19,2019_07_14 14.51
Timra,62.49,17.33,59,82,0,3.36,2019_07_14 14.51
Cape Town,-33.93,18.42,50.83,87,0,8.05,2019_07_14 14.51
Qaanaaq,77.48,-69.36,44.26,64,70,11.32,2019_07_14 14.51
Cabo San Lucas,22.89,-109.91,89.94,52,20,11.41,2019_07_14 14.51
Charters Towers,-20.07,146.27,46.24,57,99,12.93,2019_07_14 14.51
Udachnyy,66.42,112.4,59,72,75,4.47,2019_07_14 14.51
Airai,-8.93,125.41,65.86,80,48,5.75,2019_07_14 14.51
Yellowknife,62.45,-114.38,69.8,35,20,11.41,2019_07_14 14.51
Kouango,4.99,19.98,67.3,97,64,1.77,2019_07_14 14.51
Ushuaia,-54.81,-68.31,42.8,75,20,3.36,2019_07_14 14.51
New Norfolk,-42.78,147.06,45.03,61,40,14.99,2019_07_14 14.51
Jamestown,-33.21,138.6,45.52,91,74,6.73,2019_07_14 14.51
Kolpashevo,58.31,82.9,55.96,66,0,5.59,2019_07_14 14.51
Khani,41.96,42.96,68,94,75,2.24,2019_07_14 14.51
Torbay,47.66,-52.73,51.89,93,90,13.87,2019_07_14 14.51
Victoria,5.28,115.24,75.96,88,75,11.63,2019_07_14 14.51
Constitucion,23.99,-104.67,78.01,34,75,14.99,2019_07_14 14.51
Romanovo,56.49,40.39,50.92,80,0,3.27,2019_07_14 14.51
Burnie,-41.05,145.91,45.34,78,43,7,2019_07_14 14.51
Hilo,19.71,-155.08,78.73,65,90,4.7,2019_07_14 14.51
Arraial do Cabo,-22.97,-42.02,75.2,83,0,4.7,2019_07_14 14.51
Tuatapere,-46.13,167.69,46.78,68,100,15.03,2019_07_14 14.51
Isangel,-19.55,169.27,69.8,94,75,3.83,2019_07_14 14.51
Leningradskiy,69.38,178.42,36.7,95,100,6.91,2019_07_14 14.51
Muscat,23.6,58.55,89.6,75,30,4.7,2019_07_14 14.51
Ribeira Grande,38.52,-28.7,73.4,64,20,6.93,2019_07_14 14.51
Fortuna,38.18,-1.13,78.33,83,0,8.05,2019_07_14 14.51
Havre-Saint-Pierre,50.23,-63.6,57.2,93,90,14.99,2019_07_14 14.51
Kavieng,-2.57,150.8,80.26,80,100,7.34,2019_07_14 14.51
Trapani,38.02,12.54,79.29,88,0,2.24,2019_07_14 14.51
Saint-Philippe,45.36,-73.48,75.72,50,40,16.11,2019_07_14 14.51
Albany,42.65,-73.75,80.85,45,20,17.22,2019_07_14 14.51
Vaini,15.34,74.49,76.84,89,90,1.34,2019_07_14 14.51
